product_name,product_id,item_id,offer_lifecycle_status,product_lifecycle_status,source,status,request_id,product_short_description,product_long_description,abstract_product_id,product_class_type,product_type,primary_shelf,all_shelves,reporting_hierarchy,ironbank_category,source_id,bundle_type,bundle_group_id,gtin,upc,item_class_id,product_version,created_at,updated_at,request_batch_id
"Beigel & Beigel Super Sticks, 5.25 oz",132Q4743NMIG,137610658,ACTIVE,ACTIVE,,PRODUCT_PROCESSED,CET-cba4b5f8-fb21-4b39-a39c-e8e00c72d81f/008982000797/24218/24219,Super Sticks 5.25 oz (150 g) Fat free (pretzels are a low fat food). No preservatives. No additives. Product of Israel.    5.25 oz (150 g) Israel,<ul><li>Super Sticks</li><li>Fat free (pretzels are a low fat food). No preservatives. No additives. Product of Israel.</li></ul>,,,Pretzels,Pasta & Noodles,"Pretzel Sticks, Pasta & Noodles",PRETZELS,Food & Beverage,"008982000797, 175-291997",,,00008982000797,008982000797,1,1573675444689,5/9/2016 6:32:07 PM,11/13/2019 8:04:04 PM,cba4b5f8-fb21-4b39-a39c-e8e00c72d81f:008982000797.json
Quaker Chewy Chocolate Strawberries Granola Bars 12-0.84 oz. Bars,3Z3EYO3YF7UC,42351910,ACTIVE,ACTIVE,,PRODUCT_PROCESSED,CET-cba4b5f8-fb21-4b39-a39c-e8e00c72d81f/030000312568/30524/30525,Now you can have the flavor of chocolate-covered strawberries any time of day. Introducing a new surprise from Quaker Chewy Granola Bars. Sweet pieces of strawberries and whole grain oats are covered with the irresistible flavor of chocolate. Satisfy your sweet tooth with this new delight!,Now you can have the flavor of chocolate-covered strawberries any time of day. Introducing a new surprise from Quaker Chewy Granola Bars. Sweet pieces of strawberries and whole grain oats are covered with the irresistible flavor of chocolate. Satisfy your sweet tooth with this new delight!,,,Breakfast Bars & Cereal Bars,Cereal Bars & Breakfast Bars,"Cereal Bars & Breakfast Bars, Breakfast Bars",PROTEIN AND GRANOLA BARS,Food & Beverage,030000312568,,,00030000312568,030000312568,1,1573675442236,6/28/2016 8:55:09 AM,11/13/2019 8:04:02 PM,cba4b5f8-fb21-4b39-a39c-e8e00c72d81f:030000312568.json
"Reese's Thins, Peanut Butter Milk Chocolate Candy, 7.37 Oz.",2GFPB85O1DFL,528056574,ACTIVE,ACTIVE,,PRODUCT_PROCESSED,CET-cba4b5f8-fb21-4b39-a39c-e8e00c72d81f/034000460601/31979/31980,"Find a different way to enjoy the delicious combination of chocolate and peanut butter. REESE'S Milk Chocolate Thins are the same peanut butter and chocolate flavor you love, in a thinner snack-sized cup. This bag is the perfect size to share, and the individually wrapped cups make for a portable treat to enjoy no matter what the next stop is.","<br><b>Reese's Thins, Peanut Butter Milk Chocolate Candy, 7.37 Oz:</b><br><ul style=""""><li style=""color: rgb(0, 0, 0); font-family: BogleWeb, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px;"">Contains one (1) - 7.37 ounce bag</li><li style=""color: rgb(0, 0, 0); font-family: BogleWeb, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px;"">Reese's Thins are 40% thinner than regular peanut butter cups and 100% as delicious.<br></li><li style=""color: rgb(0, 0, 0); font-family: BogleWeb, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px;"">Individually wrapped peanut butter cups</li><li style=""color: rgb(0, 0, 0); font-family: BogleWeb, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px;"">Deliciously proportioned thin peanut butter cups</li><li style=""color: rgb(0, 0, 0); font-family: BogleWeb, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px;"">The classic combination of peanut butter and milk chocolate in a thinner cup</li><li style=""color: rgb(0, 0, 0); font-family: BogleWeb, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px;"">Perfectly sized for snacking and sharing</li></ul>",,,Chocolate Candy,Shop All Chocolate,"Milk Chocolate, Shop All Chocolate, Reese's",CHOCOLATE,Food & Beverage,"034000460601, 00034000460601",,,00034000460601,034000460601,1,1573675438344,12/11/2018 12:39:24 PM,11/13/2019 8:03:58 PM,cba4b5f8-fb21-4b39-a39c-e8e00c72d81f:034000460601.json
"3-Prong Male Electrical End Plugs - Heavy Duty and Durable Extension Cord Replacement Ends 16/3 - Tools & Home Improvement, Electrical, Plugs - By Katzco",6GHY4831XSVD,644964465,ACTIVE,ACTIVE,,PRODUCT_ERROR,PIG-594AA2B35AFB44DEB1D69D444BAD57E7@AQMBAQA/kzn-28255/24,"<p>HTML 3 Prong Male Electrical End Plugs - Heavy Duty and Durable Extension Cord Replacement Ends 16/3 - Tools & Home Improvement, Electrical, Plugs - By Katzco<br><br>Its better to be safe!<br><br>These heavy duty and durable end plugs provides a safe connection to your broken or wear end plugs and cords.<br><br>Made up of high quality materials that is proven and tested for its durability and functionality.<br><br>These heavy duty and durable End plugs has Heavy duty plastic body resists impacts, wear abrasion, moisture, dust and keep dirt away from important points of contact.<br><br>It also secures wires from pulling out.<br><br>This will be a must have tool in your home garage, and office to replace those worn electrical cords with a much more safer end plugs.<br><br>This can save lives and keep you safe.<br><br>Electrical cords that are wear or torn is very dangerous, it can cause fire and electrical shocks.<br><br>By using these end plugs, you can prevent any accident involving your worn or broken cords or plugs.<br><br>Plus these end plugs is made up of safe and premium quality materials.<br><br>Our 3 prong male Electrical End plugs are ideal for 15A/125V in home, office, garage and many more.<br><br>This is perfect for appliance cords, extension cords, and replacement of end plugs.<br><br>What are you waiting for? Get yours now!</p>","<ul><li>WHAT YOU GET - 3 Prong plug for use on 15A/125V outlets. Replacement for 16/3 extension cords. This is a heavy duty and durable extension cords replacement ends which is the safest way for an end plus.</li><li>PREMIUM QUALITY - Made up of high quality materials that is proven and tested for its durability and functionality. These heavy duty and durable End plugs has Heavy duty plastic body resists impacts, wear abrasion, moisture, dust and keep dirt away from important points of contact. It also secures wires from pulling out.</li><li>SUPER SAFE - This will be a must have tool in your home garage, and office to replace those worn electrical cords with a much more safer end plugs. This can save lives and keep you safe. Electrical cords that are wear or torn is very dangerous, it can cause fire and electrical shocks. By using these end plugs, you can prevent any accident involving your worn or broken cords or plugs. Plus these end plugs is made up of safe and premium quality materials.</li><li>PERFECRT FOR – Our 3 prong Electrical End plugs are ideal for 15A/125V in home, office, garage and many more. This is perfect for appliance cords, extension cords, and replacement of end plugs.</li><li>SATISFACTION GUARANTEED: Katzco will make sure that you will be satisfied with this set you buy from us. You are protected with our 100% No Questions Asked Guarantee for either a replacement or refund. We care about only putting out high quality products that satisfy your needs. If there is anything you need that we don't offer we go and find the best for you</li></ul>",,,Electrical Plugs,All Outlets,"Plug and Connectors, All Outlets",BOXES CONDUITS AND FITTINGS,Electrical,"kzn-28255, 6GHY-4831-XSVD",,,00743841491711,743841491711,1,1573675433994,5/22/2019 3:49:22 PM,11/13/2019 8:03:53 PM,594AA2B35AFB44DEB1D69D444BAD57E7@AQMBAQA
"Farmer's Heart Minestrone Nu:dle Soup, 2.64 oz",6QEB56KOF3KT,136616821,ACTIVE,ACTIVE,,PRODUCT_PROCESSED,CET-cba4b5f8-fb21-4b39-a39c-e8e00c72d81f/031146031153/31602/31603,Minestrone Nu:dle Soup<br/><br/>No MSG added†<br/>†except that which occurs naturally in hydrolyzed vegetable proteins and yeast extract.,"<div><b>Product Features</b><ul><li>From heart to home</li><li>Kosher - Pareve</li></ul></div><br/><br/>Nongshim America, Inc.,<br/>12155 6th St.,<br/>Rancho Cucamonga, CA, 91730.<br/><br/>http://www.nongshimUSA.com",,,Prepared & Packaged Soups,Soups,Soups,SOUPS,Food & Beverages,031146031153,,,00031146031153,031146031153,1,1573675426360,5/9/2016 6:02:23 PM,11/13/2019 8:03:46 PM,cba4b5f8-fb21-4b39-a39c-e8e00c72d81f:031146031153.json
"Tyson All Natural Drumsticks Chicken, 40.0 OZ",214TDNKG64X8,105986497,ACTIVE,ACTIVE,,PRODUCT_PROCESSED,CET-cba4b5f8-fb21-4b39-a39c-e8e00c72d81f/023700162243/22328/22329,<ul><li>Tyson® All Natural Chicken Drumsticks.</li><li>Ice glazed.</li><li>Contains up to 12% natural* chicken broth tenderness & juiciness Guaranteed™.</li></ul>,"<ul><li>Chicken Drumsticks</li><li>Ice glazed to ensure freshness. Contains up to 12% natural chicken broth. Tenderness & juiciness guaranteed. No hormones administered (Federal regulations prohibit the use of hormones in chicken). No artificial ingredients. Ready to cook. Individually frozen. Inspected for wholesomeness by US Department of Agriculture. Thank you for buying this Tyson product. No artificial ingredients, minimally processed. Product of USA.</li></ul>",,,Chicken,Chicken & Poultry,Chicken & Poultry,CHICKEN,Food & Beverage,023700162243,,,00023700162243,023700162243,1,1573675426331,7/6/2016 12:38:18 AM,11/13/2019 8:03:46 PM,cba4b5f8-fb21-4b39-a39c-e8e00c72d81f:023700162243.json
"Vermont Bread Vermont Bread Organic Bread, 24 oz",5E8BDSL8W9DW,427923299,ACTIVE,ACTIVE,,PRODUCT_PROCESSED,CET-cba4b5f8-fb21-4b39-a39c-e8e00c72d81f/025911010535/29091/29092,"Bread, Soft Honey Cracked Wheat, Organic, Bag 24 OZ Certified organic. USDA organic. No high-fructose corn syrup. No artificial ingredients or preservatives. Baking Healthy Since 1978: Natural &amp; Organic Breads, Rolls &amp; English Muffins: We unconditionally guarantee all of our natural and organic breads, rolls and English muffins. If for any reason you are dissatisfied, return the remainder to us at the address on the package for a full replacement or refund. Please include the name and location of the store where purchased, the closure tag from the package and your reason for dissatisfaction. Certified organic by Vermont Organic Farmers. Eating well never tasted so good! Now you can enjoy the authentic certified organic taste of Vermont Bread, the kind of breads you used to find at local farm stands and country stores. Vermont Bread Company takes great pride in baking our bread with care and traditional recipes that have been handed down through the generations. Baked fresh from scratch, Vermont Bread assures that you are getting superior flavor and nutrition in every bite. Vermont Bread Company supports organic farming by purchasing certified organic ingredients and observing the strict organic process to bring you the highest quality breads possible. Organic products are better for you, better for farmers, and better for the planet. All of our delicious and nutritious organic ingredients are grown without the use of pesticides. You won&amp;apos;t find any high fructose corn syrup or artificial preservatives, but you will find the best tasting organic bread available! Thanks. Product of USA.   Contains wheat, soy. May contain sesame seeds. 24 oz (1 lb 8 oz) 680 g PO Box 1217 Brattleboro, VT 05302","<ul><li>Bread, Soft Honey Cracked Wheat</li><li>Certified organic. USDA organic. No high-fructose corn syrup. No artificial ingredients or preservatives. Baking Healthy Since 1978: Natural & Organic Breads, Rolls & English Muffins: We unconditionally guarantee all of our natural and organic breads, rolls and English muffins. If for any reason you are dissatisfied, return the remainder to us at the address on the package for a full replacement or refund. Please include the name and location of the store where purchased, the closure tag from the package and your reason for dissatisfaction. Certified organic by Vermont Organic Farmers. Eating well never tasted so good! Now you can enjoy the authentic certified organic taste of Vermont Bread, the kind of breads you used to find at local farm stands and country stores. Vermont Bread Company takes great pride in baking our bread with care and traditional recipes that have been handed down through the generations. Baked fresh from scratch, Vermont Bread assures that you are getting superior flavor and nutrition in every bite. Vermont Bread Company supports organic farming by purchasing certified organic ingredients and observing the strict organic process to bring you the highest quality breads possible. Organic products are better for you, better for farmers, and better for the planet. All of our delicious and nutritious organic ingredients are grown without the use of pesticides. You won't find any high fructose corn syrup or artificial preservatives, but you will find the best tasting organic bread available! Thanks. Product of USA.</li></ul>",,,Breads & Buns,Bread Crumbs & Stuffing,"Organic Foods, Bread Crumbs & Stuffing, Croutons",BAKED GOODS AND DESSERTS,Food & Beverage,025911010535,,,00025911010535,025911010535,1,1573675426275,1/30/2017 10:17:07 PM,11/13/2019 8:03:46 PM,cba4b5f8-fb21-4b39-a39c-e8e00c72d81f:025911010535.json
Steamfresh Besf Vm Broccoli Tots,2G15YQLFO3I7,542407904,ACTIVE,ACTIVE,,PRODUCT_PROCESSED,CET-cba4b5f8-fb21-4b39-a39c-e8e00c72d81f/014500018021/31436/31437,Visit our website for benefit and recipe ideas.,"<ul><li>Broccoli Tots</li><li>New! Broccoli, cauliflower & potato tots. Per 6 Pieces: 140 calories; 0.5 g sat fat (3% DV); 320 mg sodium (14% DV); 1 g total sugars. 1 serving of vegetables per serving. No artificial colors, flavors or preservatives. Delicously crispy. Questions or comments? 1-888-327-9060 M-F 9:00 AM - 5:00 PM EST. www.birdseye.com. Product of Austria.</li></ul>",,,Fresh & Frozen Vegetables,Fresh Vegetables,Fresh Vegetables,PACKAGED PRODUCE,Food & Beverage,"014500018021, 00014500018021",,,00014500018021,014500018021,1,1573675421262,11/30/2017 7:59:10 PM,11/13/2019 8:03:41 PM,cba4b5f8-fb21-4b39-a39c-e8e00c72d81f:014500018021.json
"Kraft Grated Cheese, Parmesan Cheese, 16 oz Jar",2VF53BJ7DGJ5,10295354,ACTIVE,ACTIVE,,PRODUCT_PROCESSED,CET-cba4b5f8-fb21-4b39-a39c-e8e00c72d81f/021000010868/31557/31558,"Kraft Grated Parmesan Cheese enhances your pastas, pizzas, seafood, salads and more with the bold taste of Kraft grated cheese. The sharp and tangy flavor complements your favorite recipes, and its pre-grated to save you valuable prep time in the kitchen. This cheese is sure to add great nutty and salty flavor to your favorite meals at any occasion. Sprinkle this Parmesan cheese over pasta dishes or add it your signature chicken Parmesan recipe for extra flavor. Kraft Parmesan Cheese comes in a convenient shaker bottle for ease of use and convenient storage. After opening, store cheese in the refrigerator.","<ul><li>One 16 oz. jar of Kraft Grated Parmesan Cheese</li><li>Kraft Grated Parmesan Cheese is made with premium quality milk</li><li>Delivers sharp, tangy flavor to your favorite recipes</li><li>Grated for convenience</li><li>Versatile Italian style Parmesan cheese enhances your pastas, pizzas, seafood, salads and more</li><li>Shaker bottle is easy to use and store</li><li>Refrigerate after opening</li></ul>",,,Cheeses,Cheese,"ND Test Shelf, Cheese",PASTA PASTA SAUCE AND CHEESE,Food & Beverage,"021000010868, 10295354",,,00021000010868,021000010868,1,1573675419146,12/9/2015 4:42:18 AM,11/13/2019 8:03:39 PM,cba4b5f8-fb21-4b39-a39c-e8e00c72d81f:021000010868.json
GRIP 46095 4 Piece Mini Pick and Hook Set O-Ring Seal and Clip Remover Steel,11R8X3QAW53J,328303316,ACTIVE,ACTIVE,,PRODUCT_ERROR,PIG-F4E5548AFC3A44439AB9BAFD8CFEB2ED@AQMBAQA/46095/72,"GRIP 4 PIECE MINI PICK AND HOOK SETBrand new GRIP four-piece pick & hook set. This is a top-quality set of tools made with heat treated chrome vanadium steel shafts, and double injected rubber grip handles for extra control and comfort. These are ideal for pulling O-rings, seals, cotter pins, retaining clips, and removing or installing springs and also come at a great price! This kit has 1 straight pick, 1 full hook, 1 offset 45 degree hook, and 1 offset 90 degree hook. FEATURES:• Four-piece mini pick and hook set• Double injected rubber grip handles w/ heat treated, chrome plated, vanadium steel shafts• Great for: pulling O-rings, seals, cotter pins, retaining clips, removing or installing springs, to clean or scrape rust and corrosion from hard to reach areas• Includes: 1 pc straight pick, 1 pc full hook, 1 pc offset 45 degree hook, and 1 pc offset 90 degree hookONE SET OF FOUR PIECES","• Four piece mini pick and hook set• Double injected rubber grip handles w/ heat treated, chrome plated, vanadium steel shafts",,,Tool Sets,Hand Tool Sets,"Hand Tool Sets, Automotive Hand Tools",HAND TOOL SETS AND SCREWDRIVERS,Tools,46095,,,00097257460954,097257460954,1,1573675417976,5/10/2019 7:10:03 PM,11/13/2019 8:03:37 PM,F4E5548AFC3A44439AB9BAFD8CFEB2ED@AQMBAQA
